beneficiary_id,asset_id,scheme_id,region_id,count,description
BEN_AUTO_ASSET_WB_272028,ASSET_WB_272028,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Jharoda Mazra Burari, Central (water_body)"
BEN_AUTO_ASSET_WB_272029,ASSET_WB_272029,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Jharoda Mazra Burari, Central (water_body)"
BEN_AUTO_ASSET_WB_272030,ASSET_WB_272030,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Timarpur, Central (water_body)"
BEN_AUTO_ASSET_WB_272031,ASSET_WB_272031,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Wazirabad, Central (water_body)"
BEN_AUTO_ASSET_WB_272032,ASSET_WB_272032,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Chilla Saroda Bangar, East (water_body)"
BEN_AUTO_ASSET_WB_272033,ASSET_WB_272033,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Chilla Saroda Khadar, East (water_body)"
BEN_AUTO_ASSET_WB_272034,ASSET_WB_272034,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Dallupura, East (water_body)"
BEN_AUTO_ASSET_WB_272035,ASSET_WB_272035,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Gharoli, East (water_body)"
BEN_AUTO_ASSET_WB_272036,ASSET_WB_272036,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Ghronda Neem Ka Bangar, East (water_body)"
BEN_AUTO_ASSET_WB_272037,ASSET_WB_272037,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Ghronda Neem Ka Bangar, East (water_body)"
BEN_AUTO_ASSET_WB_272038,ASSET_WB_272038,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Khichripur, East (water_body)"
BEN_AUTO_ASSET_WB_272039,ASSET_WB_272039,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Khichripur, East (water_body)"
BEN_AUTO_ASSET_WB_272040,ASSET_WB_272040,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Kondli, East (water_body)"
BEN_AUTO_ASSET_WB_272041,ASSET_WB_272041,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Kondli, East (water_body)"
BEN_AUTO_ASSET_WB_272042,ASSET_WB_272042,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Kondli, East (water_body)"
BEN_AUTO_ASSET_WB_272043,ASSET_WB_272043,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Kotla, East (water_body)"
BEN_AUTO_ASSET_WB_272044,ASSET_WB_272044,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Gazipur, East (water_body)"
BEN_AUTO_ASSET_WB_272045,ASSET_WB_272045,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Gazipur, East (water_body)"
BEN_AUTO_ASSET_WB_272046,ASSET_WB_272046,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Gazipur, East (water_body)"
BEN_AUTO_ASSET_WB_272047,ASSET_WB_272047,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Gazipur, East (water_body)"
BEN_AUTO_ASSET_WB_272048,ASSET_WB_272048,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Gazipur, East (water_body)"
BEN_AUTO_ASSET_WB_272049,ASSET_WB_272049,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Khureji Khas, East (water_body)"
BEN_AUTO_ASSET_WB_272050,ASSET_WB_272050,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Khureji Khas, East (water_body)"
BEN_AUTO_ASSET_WB_272051,ASSET_WB_272051,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Khureji Khas, East (water_body)"
BEN_AUTO_ASSET_WB_272052,ASSET_WB_272052,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Bagrola, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272053,ASSET_WB_272053,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Bagrola, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272054,ASSET_WB_272054,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Bagrola, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272055,ASSET_WB_272055,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Bagrola, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272056,ASSET_WB_272056,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Nangal Raya, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272057,ASSET_WB_272057,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Naraina, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272058,ASSET_WB_272058,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Shahbad Mohd. Pur, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272059,ASSET_WB_272059,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Shahbad Mohd. Pur, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272060,ASSET_WB_272060,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Shahbad Mohd. Pur, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272061,ASSET_WB_272061,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Shahbad Mohd. Pur, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272062,ASSET_WB_272062,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Shahbad Mohd. Pur, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272063,ASSET_WB_272063,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Todapur, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272064,ASSET_WB_272064,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Todapur, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272065,ASSET_WB_272065,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Todapur, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272066,ASSET_WB_272066,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Basant Nagar, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272067,ASSET_WB_272067,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Ghatorni, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272068,ASSET_WB_272068,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Mahipalpur, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272069,ASSET_WB_272069,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Mahipalpur, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272070,ASSET_WB_272070,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Mahipalpur, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272071,ASSET_WB_272071,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Mahipalpur, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272072,ASSET_WB_272072,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Mahipalpur, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272073,ASSET_WB_272073,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Masood Pur, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272074,ASSET_WB_272074,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Mohd. Pur Munirka, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272075,ASSET_WB_272075,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Mohd. Pur Munirka, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272076,ASSET_WB_272076,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Mohd. Pur Munirka, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272077,ASSET_WB_272077,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Nangal Devat, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272078,ASSET_WB_272078,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Nangal Devat, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272079,ASSET_WB_272079,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Rajokari, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272080,ASSET_WB_272080,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Rajokari, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272081,ASSET_WB_272081,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Rajokari, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272082,ASSET_WB_272082,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Rajokari, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272083,ASSET_WB_272083,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Rajokari, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272084,ASSET_WB_272084,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Rajokari, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272085,ASSET_WB_272085,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Rajokari, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272086,ASSET_WB_272086,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Rajokari, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272087,ASSET_WB_272087,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Rajokari, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272088,ASSET_WB_272088,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Rajokari, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272089,ASSET_WB_272089,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Rangpuri, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272090,ASSET_WB_272090,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Rangpuri, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272091,ASSET_WB_272091,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Rangpuri, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272092,ASSET_WB_272092,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Rangpuri, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272093,ASSET_WB_272093,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Rangpuri, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272094,ASSET_WB_272094,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Samalka, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272095,ASSET_WB_272095,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Samalka, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272096,ASSET_WB_272096,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Samalka, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272097,ASSET_WB_272097,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Samalka, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272098,ASSET_WB_272098,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Samalka, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272099,ASSET_WB_272099,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Samalka, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272100,ASSET_WB_272100,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Samalka, New Delhi (water_body)"
BEN_AUTO_ASSET_WB_272101,ASSET_WB_272101,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Akbar Pur Mazra, North (water_body)"
BEN_AUTO_ASSET_WB_272102,ASSET_WB_272102,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Akbar Pur Mazra, North (water_body)"
BEN_AUTO_ASSET_WB_272103,ASSET_WB_272103,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Akbar Pur Mazra, North (water_body)"
BEN_AUTO_ASSET_WB_272104,ASSET_WB_272104,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Ali Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272105,ASSET_WB_272105,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Bakoli, North (water_body)"
BEN_AUTO_ASSET_WB_272106,ASSET_WB_272106,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Bhaktawar Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272107,ASSET_WB_272107,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Bhaktawar Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272108,ASSET_WB_272108,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Bhaktawar Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272109,ASSET_WB_272109,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Bhaktawar Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272110,ASSET_WB_272110,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Bhaktawar Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272111,ASSET_WB_272111,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Budh Pur Bija Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272112,ASSET_WB_272112,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Fatehpur Jat, North (water_body)"
BEN_AUTO_ASSET_WB_272113,ASSET_WB_272113,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Garhi Khusro, North (water_body)"
BEN_AUTO_ASSET_WB_272114,ASSET_WB_272114,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Hamidpur, North (water_body)"
BEN_AUTO_ASSET_WB_272115,ASSET_WB_272115,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Hamidpur, North (water_body)"
BEN_AUTO_ASSET_WB_272116,ASSET_WB_272116,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Hamidpur, North (water_body)"
BEN_AUTO_ASSET_WB_272117,ASSET_WB_272117,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Hiranki, North (water_body)"
BEN_AUTO_ASSET_WB_272118,ASSET_WB_272118,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Hiranki, North (water_body)"
BEN_AUTO_ASSET_WB_272119,ASSET_WB_272119,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Ibrahim Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272120,ASSET_WB_272120,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Ibrahim Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272121,ASSET_WB_272121,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Khera Kalan, North (water_body)"
BEN_AUTO_ASSET_WB_272122,ASSET_WB_272122,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Khera Kalan, North (water_body)"
BEN_AUTO_ASSET_WB_272123,ASSET_WB_272123,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Khera Kalan, North (water_body)"
BEN_AUTO_ASSET_WB_272124,ASSET_WB_272124,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Mohd.Pur Ramjan Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272125,ASSET_WB_272125,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Mukhmel Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272126,ASSET_WB_272126,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Mukhmel Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272127,ASSET_WB_272127,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Nangli Poona, North (water_body)"
BEN_AUTO_ASSET_WB_272128,ASSET_WB_272128,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Samaypur, North (water_body)"
BEN_AUTO_ASSET_WB_272129,ASSET_WB_272129,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Samaypur, North (water_body)"
BEN_AUTO_ASSET_WB_272130,ASSET_WB_272130,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Shahbad Daulat Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272131,ASSET_WB_272131,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Shahbad Daulat Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272132,ASSET_WB_272132,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Shahbad Daulat Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272133,ASSET_WB_272133,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Singhola, North (water_body)"
BEN_AUTO_ASSET_WB_272134,ASSET_WB_272134,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Singhola, North (water_body)"
BEN_AUTO_ASSET_WB_272135,ASSET_WB_272135,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Singhu, North (water_body)"
BEN_AUTO_ASSET_WB_272136,ASSET_WB_272136,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Singhu, North (water_body)"
BEN_AUTO_ASSET_WB_272137,ASSET_WB_272137,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Singhu, North (water_body)"
BEN_AUTO_ASSET_WB_272138,ASSET_WB_272138,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Siras Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272139,ASSET_WB_272139,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Siras Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272140,ASSET_WB_272140,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Sungar Pur Delhi, North (water_body)"
BEN_AUTO_ASSET_WB_272141,ASSET_WB_272141,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Taj Pur Kalan, North (water_body)"
BEN_AUTO_ASSET_WB_272142,ASSET_WB_272142,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Taj Pur Kalan, North (water_body)"
BEN_AUTO_ASSET_WB_272143,ASSET_WB_272143,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Taj Pur Kalan, North (water_body)"
BEN_AUTO_ASSET_WB_272144,ASSET_WB_272144,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Tehri Daulat Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272145,ASSET_WB_272145,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Tigi Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272146,ASSET_WB_272146,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Tigi Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272147,ASSET_WB_272147,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Tigi Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272148,ASSET_WB_272148,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Tigi Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272149,ASSET_WB_272149,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Zind Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272150,ASSET_WB_272150,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Zind Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272151,ASSET_WB_272151,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Azadpur, North (water_body)"
BEN_AUTO_ASSET_WB_272152,ASSET_WB_272152,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Azadpur, North (water_body)"
BEN_AUTO_ASSET_WB_272153,ASSET_WB_272153,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Azadpur, North (water_body)"
BEN_AUTO_ASSET_WB_272154,ASSET_WB_272154,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Bharola, North (water_body)"
BEN_AUTO_ASSET_WB_272155,ASSET_WB_272155,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Dheer Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272156,ASSET_WB_272156,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Dheer Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272157,ASSET_WB_272157,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Other Water Body — Dheer Pur, North (water_body)"
BEN_AUTO_ASSET_WB_272158,ASSET_WB_272158,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Reservoir — Malik Pur Chawni, North (water_body)"
BEN_AUTO_ASSET_WB_272159,ASSET_WB_272159,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Raipur Chawni, North (water_body)"
BEN_AUTO_ASSET_WB_272160,ASSET_WB_272160,SCH_AMRUT,REG_DELHI,100,"Auto-estimated beneficiaries for Lake/Pond — Auchandi, North (water_body)"
