region_id,name,type,parent_region_id,population,lat,lon
GEO_IN_DL_276401_W1289906,Rohini-F,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290049,Molarband,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289916,Paschim Vihar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289933,Chandni Chowk,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289821,Ashok Nagar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289860,Mukundpur,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_W1293211,Ward No. 3,ward,GEO_IN_DL,,,
GEO_IN_DL_276402_W1290043,Kalkaji,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289807,Anarkali,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276400_W1289813,Dilshad Colony,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276400_W1289793,Kalyan Puri,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1290012,Andrews Ganj,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289952,Inder Puri,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289852,Alipur,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289958,Rajouri Garden,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289795,Vinod Nagar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1289985,Sagarpur-East,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290006,Sadh Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289895,Mangolpuri-D,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289948,Karampura,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289815,Jhilmil,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289898,Nangloi Jat,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289977,Bapraula,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290032,Madangir,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289828,Gautam Puri,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289857,Jharoda,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289883,Rohini-D,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_W1293213,Ward No. 5,ward,GEO_IN_DL,,,
GEO_IN_DL_276402_W1289957,Raghubir Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289806,Krishna Nagar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1289991,Dwarka-B,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289847,Sadatpur,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289880,Pooth Khurd,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289893,Mubarak Pur Dabas,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290054,Sarita Vihar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289928,Shastri Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289945,Ranjit Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290020,Lado Sarai,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_W1293215,Ward No. 7,ward,GEO_IN_DL,,,
GEO_IN_DL_276402_W1289993,Ghuman Hera,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289935,Ajmeri Gate,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289963,Hari Nagar-A,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289930,Kishan Ganj,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289879,Bawana,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289913,Pitampura,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289995,Dichaon Kalan,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289834,Kardam Puri,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1290038,Sangam Vihar-E,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290048,Badarpur,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289925,Sangam Park,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289971,Milap Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_W1293209,Ward No. 1,ward,GEO_IN_DL,,,
GEO_IN_DL_276401_W1289937,Delhi Gate,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289822,Ram Nagar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1290039,Greater Kailash,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1289956,Raja Garden,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1289966,Tilak Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289840,Harsh Vihar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289918,Shakur Pur,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289848,Khajoori Khas,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1289994,Gopal Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289912,Shalimar Bagh -South,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289951,Rajinder Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289973,Vikaspuri,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289849,Sri Ram Colony,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289940,Ram Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290011,Kasturba Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290056,Madanpur Khadar East,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289950,Ramesh Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289878,Nangal Thakran,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289786,Mayur Vihar Phase-I,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289885,Rani Khera,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289907,Rohini-G,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290021,Mehrauli,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290051,Jaitpur,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1289989,Dwarka - A,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289929,Sadar Bazar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290001,Bijwasan,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289910,Haiderpur,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289839,Saboli,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276400_W1289810,Shastri Park,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1289986,Manglapuri,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289931,Anand Parbat,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289838,Gokal Puri,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1289970,Sitapuri,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289923,Nimri Colony,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289819,New Seemapuri,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1290010,Lajpat Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290028,Tigri,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289901,Lakshmi Park,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_W1293210,Ward No. 2,ward,GEO_IN_DL,,,
GEO_IN_DL_276402_W1289969,Janakpuri South,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289804,I.P. Extension,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276400_W1289841,Shiv Vihar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1289998,Isapur,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289831,Ghonda,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289924,Ashok Vihar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289960,Vishnu Garden,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289897,Sultanpuri-C,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289890,Aman Vihar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289856,Burari,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290000,Dwarka-C,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289949,Moti Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289990,Matiala,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289824,Welcome Colony,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289927,Kamla Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289837,Joharipur,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1290053,Zakir Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290023,Chhatarpur,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289797,Patpar Ganj,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1290050,Hari Nagar-B,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289892,Prem Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290007,Palam,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290025,Bhati,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289812,Raghubarpura,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289872,Samaypur Badli,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289979,Mohan Garden-North,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289934,Jama Masjid,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289900,Nihal Vihar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289946,Baljit Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289794,Mandawali,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289859,Sant Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289996,Najafgarh,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289921,Wazir Pur,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290014,Safdarjung Enclave,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289826,Chauhan Banger,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276400_W1289818,Sunder Nagri,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289903,Mangolpuri-A,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290027,Dakshin Puri Extension,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1289959,Tagore Garden,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289802,Vishwas Nagar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289909,Rohini-I,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289835,Babarpur,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276400_W1289791,Gharoli,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289939,Ballimaran,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290031,Sangam Vihar-B,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289887,Nilothi,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289803,Anand Vihar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1289984,Sagarpur-West,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289867,Dhirpur,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289798,Kishan Kunj,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1290034,Khanpur,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289944,East Patel Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289827,Seelampur,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289863,G.T.B. Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289908,Rohini-H,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289992,Chhawla,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289799,Lakshmi Nagar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1290008,Daryaganj,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289891,Kirari Suleman Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289871,Bhalswa,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290030,Sangam Vihar-A,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289808,Ghondli,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289943,Dev Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289805,Preet Vihar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289942,Pahar Ganj,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290013,Kotla Mubarakpur,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289809,Geeta Colony,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1289974,Hastsal,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289789,New Ashok Nagar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289851,Bakhtawarpur,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289899,Peera Garhi,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289926,Model Town,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289938,Quraish Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289889,Nithari,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289854,Bankner,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289922,Sawan Park,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289967,Mahavir Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290024,Said-Ul-Ajaib,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289790,Dallupura,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1289978,Mohan Garden-South,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290002,Kapashera,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290017,Vasant Vihar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289911,Shalimar Bagh -North,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290019,Munirka,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289877,Rithala,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289816,Shahdara,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1290005,Mahavir Enclave,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1289968,Janakpuri West,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289833,Subhash Mohalla,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289850,Narela,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289972,Ranhola,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289882,Begumpur,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289787,Trilokpuri-East,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_W1293212,Ward No. 4,ward,GEO_IN_DL,,,
GEO_IN_DL_276402_W1290018,R.K. Puram,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289869,Swami Sharda Nand Colony,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289830,Yamuna Vihar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289941,Karol Bagh,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289870,Jahangir Puri,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290041,Chirag Delhi,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1289962,Subhash Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289845,Sonia Vihar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1290040,Chitaranjan Park,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290004,Madhu Vihar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289853,Holambi Khurd,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290045,Harkesh Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290033,Pushp Vihar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1289964,Pratap Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289800,Shakarpur,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276400_W1289829,Bhajan Pura,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1289999,Raj Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290015,Hauz Khas,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290003,Mahipalpur,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_W1293214,Ward No. 6,ward,GEO_IN_DL,,,
GEO_IN_DL_276401_W1289919,Ram Pura,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289855,Kadipur,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289873,Rohini-A,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289884,Kanjhawala,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289862,Malka Ganj,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289980,Nawada,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289823,Rohtash Nagar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289875,Vijay Vihar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289953,Naraina,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289842,Karawal Nagar-East,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1290044,Govind Puri,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1289976,Vikas Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1289997,Roshanpura,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289874,Rohini-B,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289801,Pandav Nagar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276400_W1289844,Nehru Vihar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276400_W1289843,Mustafabad,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289914,Saraswati Vihar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289902,Rohini-E,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289868,Sarup Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289865,Sarai Pipal Thala,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290016,Malviya Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1289954,Madipur,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289917,Kohat Enclave,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289866,Adarsh Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289861,Timarpur,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290026,Aya Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1289988,Kakraula,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289905,Mangolpuri-C,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290035,Tughlakabad Extension,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289825,Maujpur,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1289987,Nangli Sakrawati,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289820,Dilshad Garden,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1289981,Uttam Nagar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1289961,Khyala,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289915,Rani Bagh,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289886,Nangloi,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290029,Deoli,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289817,Nand Nagri,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276400_W1289836,Janta Colony,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289936,Bazar Sita Ram,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289796,Mayur Vihar Phase-Ii,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1290055,Abul Fazal Enclave,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289811,Kanti Nagar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1289982,Bindapur,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289858,Kamalpur,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289832,Braham Puri,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1290057,Madanpur Khadar West,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289947,West Patel Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289792,Kondli,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289881,Rohini-C,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289983,Dabri,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_W1293216,Ward No. 8,ward,GEO_IN_DL,,,
GEO_IN_DL_276401_W1289888,Mundka,ward,GEO_IN_DL_276401,,,
GEO_IN_AP,Andhra Pradesh,state,GEO_IN,,15.9129,79.74
GEO_IN_AP_248121,Tirupati,city,GEO_IN_AP,,,
GEO_IN_AP_248121_W126545,Tirupati - Ward No.31,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W126562,Tirupati - Ward No.40,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W53614,Tirupati - Ward No.22,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W126557,Tirupati - Ward No.37,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W53606,Tirupati (M) - Ward No.14,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W53572,Tirupati - Ward No.23,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W53612,Tirupati (M) - Ward No.20,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W126551,Tirupati - Ward No.34,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W53610,Tirupati (M) - Ward No.18,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W126538,Tirupati - Ward No.27,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W126573,Tirupati - Ward No.49,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W53598,Tirupati (M) - Ward No.6,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W53605,Tirupati (M) - Ward No.13,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W53611,Tirupati (M) - Ward No.19,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W126567,Tirupati - Ward No.43,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W53608,Tirupati (M) - Ward No.16,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W126566,Tirupati - Ward No.42,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W53599,Tirupati (M) - Ward No.7,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W126540,Tirupati - Ward No.28,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W126574,Tirupati - Ward No.50,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W126560,Tirupati - Ward No.39,ward,GEO_IN_AP_248121,,,
GEO_IN_AP_248121_W126571,Tirupati - Ward No.47,ward,GEO_IN_AP_248121,,,
