actor_id,name,type,region_id,total_tenders,budget_lakhs
act_delhiparksandgardenssociety,Delhi Parks and Gardens Society,Government Agency,reg_delhi,2,109.76
act_delhijudicialacademy,Delhi Judicial Academy,Government Agency,reg_delhi,2,93.7
act_delhisatehealthmission,Delhi Sate Health Mission,Government Agency,reg_delhi,1,90.0
act_departmentofdelhiarchives,Department of Delhi Archives,Government Agency,reg_delhi,1,88.59
act_instituteofhumanbehaviourandalliedsciences,Institute of Human Behaviour and Allied Sciences,Government Agency,reg_delhi,4,58.4
act_delhistatecancerinstitute,Delhi State Cancer Institute,Government Agency,reg_delhi,6,44.36
act_departmentofenvironment,Department of Environment,Government Agency,reg_delhi,1,40.13
act_revenuedepartment,Revenue Department,Government Agency,reg_delhi,1,38.0
act_chachanehrubalchikitsalaya,Chacha Nehru Bal Chikitsalaya,Government Agency,reg_delhi,8,24.0
act_gurugovindsinghgovthospital,Guru Govind Singh Govt Hospital,Government Agency,reg_delhi,4,22.8
act_collegeofart,College of Art,Government Agency,reg_delhi,1,13.6
act_babujagjivanrammemorialhospital,Babu Jagjivan Ram Memorial Hospital,Government Agency,reg_delhi,1,10.0
act_attarsainijaineyeandgeneralhospitallawrenc,"Attar Saini Jain Eye and General Hospital, Lawrenc",Government Agency,reg_delhi,1,8.0
act_bhagwanmahavirhospital,Bhagwan Mahavir Hospital,Government Agency,reg_delhi,1,7.2
act_maulanaazadinstituteofdentalsciences,Maulana Azad Institute of Dental Sciences,Government Agency,reg_delhi,1,3.6
act_jagpraveshchandrahospital,Jag Pravesh Chandra Hospital,Government Agency,reg_delhi,1,1.8
act_delhilegislativeassemblysecretariat,Delhi Legislative Assembly Secretariat,Government Agency,reg_delhi,2,0.48
act_delhisocietyforpreventionofcrueltytoanimals,Delhi Society For Prevention of Cruelty to Animals,Government Agency,reg_delhi,2,0.0
act_directorateofinformationandpublicity,Directorate of Information and Publicity,Government Agency,reg_delhi,1,0.0
act_depttofinformationtechnology,Deptt of Information Technology,Government Agency,reg_delhi,4,0.0
act_delhisubordinateserviceselectionboard,Delhi Subordinate Service Selection Board,Government Agency,reg_delhi,1,0.0
act_delhistateaidscontrolsociety,Delhi State Aids Control Society,Government Agency,reg_delhi,3,0.0
act_delhikhadiandvillageindustrialboard,Delhi Khadi and Village Industrial Board,Government Agency,reg_delhi,1,0.0
act_delhifireservice,Delhi Fire Service,Government Agency,reg_delhi,1,0.0
act_delhiconsumerscooperativeewholesalestoreltd,Delhi Consumers Cooperative E Wholesale Store Ltd.,Government Agency,reg_delhi,1,0.0
act_officeofcommofexciseenttandluxurytax,Office of Comm. of Excise Entt and Luxury Tax,Government Agency,reg_delhi,1,0.0
act_animalhusbandrydepartmentgnctd,Animal Husbandry Department GNCTD,Government Agency,reg_delhi,2,0.0
act_financedepartment,Finance Department,Government Agency,reg_delhi,1,0.0
