asset_id,name,type,region_id,scheme_id,actor_id,cost,status,lat,lon
ASSET_WB_272027,Water Body — BURARI,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.7586111,77.1961111
ASSET_WB_272028,Water Body — JHARODA MAZRA BURARI,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.7338889,77.2191667
ASSET_WB_272029,Water Body — JHARODA MAZRA BURARI,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.7333333,77.21
ASSET_WB_272030,Water Body — TIMARPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.7125,77.2238889
ASSET_WB_272031,Water Body — WAZIRABAD,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.7213889,77.2233333
ASSET_WB_272032,Water Body — CHILLA SARODA BANGAR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5927778,77.2994444
ASSET_WB_272033,Water Body — CHILLA SARODA KHADAR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5927778,77.2994444
ASSET_WB_272034,Water Body — DALLUPURA,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6033333,77.3227778
ASSET_WB_272035,Water Body — GHAROLI,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6144444,77.3288889
ASSET_WB_272036,Water Body — GHRONDA NEEM KA BANGAR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6047222,77.2894444
ASSET_WB_272037,Water Body — GHRONDA NEEM KA BANGAR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6138889,77.2886111
ASSET_WB_272038,Water Body — KHICHRIPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6227778,77.3147222
ASSET_WB_272039,Water Body — KHICHRIPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6130556,77.3013889
ASSET_WB_272040,Water Body — KONDLI,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.615,77.3238889
ASSET_WB_272041,Water Body — KONDLI,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6122222,77.3125
ASSET_WB_272042,Water Body — KONDLI,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6036111,77.3366667
ASSET_WB_272043,Water Body — KOTLA,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6094444,77.2941667
ASSET_WB_272044,Water Body — GAZIPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6327778,77.3219444
ASSET_WB_272045,Water Body — GAZIPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6330556,77.3222222
ASSET_WB_272046,Water Body — GAZIPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6263889,77.3241667
ASSET_WB_272047,Water Body — GAZIPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6263889,77.3241667
ASSET_WB_272048,Water Body — GAZIPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6297222,77.3177778
ASSET_WB_272049,Water Body — KHUREJI KHAS,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.71,77.2522222
ASSET_WB_272050,Water Body — KHUREJI KHAS,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.7097222,77.2516667
ASSET_WB_272051,Water Body — KHUREJI KHAS,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.7119444,77.2525
ASSET_WB_272052,Water Body — BAGROLA,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5727778,77.07
ASSET_WB_272053,Water Body — BAGROLA,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5691667,77.0741667
ASSET_WB_272054,Water Body — BAGROLA,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5725,77.0711111
ASSET_WB_272055,Water Body — BAGROLA,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5713889,77.0727778
ASSET_WB_272056,Water Body — NANGAL RAYA,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6041667,77.1075
ASSET_WB_272057,Water Body — NARAINA,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6272222,77.13
ASSET_WB_272058,Water Body — SHAHBAD MOHD. PUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5561111,77.0672222
ASSET_WB_272059,Water Body — SHAHBAD MOHD. PUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5580556,77.0686111
ASSET_WB_272060,Water Body — SHAHBAD MOHD. PUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5613889,77.0561111
ASSET_WB_272061,Water Body — SHAHBAD MOHD. PUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.56,77.0569444
ASSET_WB_272062,Water Body — SHAHBAD MOHD. PUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5552778,77.0694444
ASSET_WB_272063,Water Body — TODAPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6302778,77.1677778
ASSET_WB_272064,Water Body — TODAPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6222222,77.1588889
ASSET_WB_272065,Water Body — TODAPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6272222,77.1638889
ASSET_WB_272066,Water Body — BASANT NAGAR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5594444,77.1658333
ASSET_WB_272067,Water Body — GHATORNI,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.4936111,77.1391667
ASSET_WB_272068,Water Body — MAHIPALPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5511111,77.1322222
ASSET_WB_272069,Water Body — MAHIPALPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5527778,77.1333333
ASSET_WB_272070,Water Body — MAHIPALPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5430556,77.145
ASSET_WB_272071,Water Body — MAHIPALPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5513889,77.1327778
ASSET_WB_272072,Water Body — MAHIPALPUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5466667,77.1297222
ASSET_WB_272073,Water Body — MASOOD PUR,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5272222,77.1552778
ASSET_WB_272074,Water Body — MOHD. PUR MUNIRKA,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5427778,77.1616667
ASSET_WB_272075,Water Body — MOHD. PUR MUNIRKA,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5377778,77.1577778
ASSET_WB_272076,Water Body — MOHD. PUR MUNIRKA,water_body,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.5486111,77.1755556
